time level doors
1 1 CLOSED
2 1 OPEN
3 1 CLOSED
4 2 CLOSED
5 2 OPEN
6 2 CLOSED
7 3 CLOSED
8 3 OPEN
9 3 CLOSED
10 4 CLOSED
11 5 CLOSED
12 5 OPEN
13 5 CLOSED
14 6 CLOSED
15 7 CLOSED
16 8 CLOSED
17 9 CLOSED
18 10 CLOSED
19 10 OPEN
20 10 CLOSED
21 9 CLOSED
22 8 CLOSED
23 7 CLOSED
24 7 OPEN
25 7 CLOSED
26 6 CLOSED
27 5 CLOSED
28 4 CLOSED
29 3 CLOSED
30 3 OPEN
31 3 CLOSED
32 2 CLOSED
33 2 OPEN
34 2 CLOSED
35 1 CLOSED
36 1 OPEN
37 1 CLOSED
38 2 CLOSED
39 3 CLOSED
40 4 CLOSED
41 5 CLOSED
42 5 OPEN
43 5 CLOSED
